;;;
;;;
;;;
;;;
;REPUESTOS PARA BICICLETAS, ACCESORIOS Y OFERTAS;;
ARTICULO;DESCRIPCION;costo;sugerido
 713;COOL/XERAMA - PEDAL MTB ACERO CON CENTRO DE RESINA;5376,90;6240,12
717;XERAMA - PEDAL MTB CENTRO DURAL C/LATERAL DE ACERO;12783,51;14835,79
 478;FEIMIN - PEDALES MTB 9/16 PLASTICOS SIN BOLILLAS;2306,53;3112,20
3144;FEIMIN - PEDALES PLASTICOS EJE FINO S/BOL.APTO FRE;2454,36;3181,80
 766;FEIMIN - PEDAL PLAYERO CITY PLASTICO C/ GOMA ANTI-;5513,28;6980,06
3337;LAL - PEDALINES ACERO NEGROS 32MM GRUESOS LARGOS;1080,48;1312,04
1194;EASTMAN - PEDALINES ACERO CROMADOS 3CM X 11CM PAR;7819,51;9349,86
 920;WINNER/LAL - PEDALINES CHICOS DE CA�O ZINCADOS PAR;3943,87;4789,31
  97;EASTMAN - PICO IMPORTADO PARA INFLAR PELOTAS METAL;698,21;942,10
  75;EASTMAN - PIE LATERAL CON TRABA P/ROD.26/28 CROMAD;2524,99;2946,02
1865;SAMORGA - PIE LATERAL MOD.CHA�AR CHAPA T/INGLES;4556,00;5447,65
1866;SAMORGA - PIE CHAPA Y HIERRO AL EJE PINTADO NEW;4556,00;5447,65
 987;DI FAZIO - PIE REFORZADO 24/26/28 AL EJE NEGRO;4036,02;4825,91
 278;SLP - PIE A LA CAJA DURAL R.20/28 REGUL.NATUR/NEGR;4568,28;5547,58
3961;"WINNER - PIE SOPORTE REGUL.""A LA VAINA"" INFER.";8569,87;10247,07
1116;EASTMAN/COOL - PI�ON LIBRE 16 DTS. CHINO;1914,77;2583,60
1218;EASTMAN / CHINA - PI�ON LIBRE 18 DTS.;1960,50;2645,30
1220;SHUNFENG /EASTMAN/CHINA - PI�ON LIBRE 20 DTS.REF.;2469,68;3332,34
