ART;BICICLETAS RODADO 12;$;PUBLICO
87;PONTINA NABILA RETRO ROD.28 UNISEX FULL CANASTO DE MIMBRE PU�OS MARRONES, ASIENTO MARRON;275247,64;296621
88;PONTINA NABILA SETTE ROD.28 CUARO ARTESANAL. 7 VEL.CANASTO MIMBRE. CUBIERTAS COLOR;297900,82;321033
428;PONTINA NABILA XXI ROD.28 CUARO ARTESANAL. 21 VEL.CANASTO PLASTICO. LLANTAS PERFIL ALTO. CUB 700 X 38;307989,53;331905
101;FEDEROSA - DAMA ROD.28 EQUIPADA FULL DE PASEO - LINEA NORDICA;380144,26;395536
536;"PONTINA ""NIPPUR"" - VARON URBANA ROD.28 FULL 21 V.LLANTAS DOBLE PERFIL. GUARDAB.Y PORTAPAQUETES";322282,26;347308
218;PONTINA FIX ROD.28 FIXED CUADRO EMPIPADO - RUEDAS ESPECIALES - FRENOS AERO RUTA;278897,06;300553
328;PONTINA VINCE ROD.28 FIXED CUADRO OVAL - RUEDAS ESPECIALES TRIPLE PARED - FRENOS AERO RUTA;326096,19;351418
217;PONTINA FIX HIBRIDA 21 VEL ROD.28 CUADRO EMPIPADO - RUEDAS ESPECIALES - FRENOS AERO RUTA;320458,99;345343
;BICICLETAS TODO TERRENO CON CAMBIOS;;
4195;SLP 5 LADY ROD.29 - DAMA 21 VEL.CUADRO VECTOR ACERO SHIMANO - FRENOS A DISCO;271407,53;282397
4290;SLP 10 LADY ROD.29 - DAMA 21 VEL.SHIMANO - CUADRO ALUMINIO -  FRENOS A DISCO;284857,35;296391
2521;SLP 25 LADY ROD.29 - DAMA 21 VEL.SHIMANO - CUADRO ALUMINIO -  FRENOS A DISCO;347070,16;361123
3016;FIRE BIRD DAMA ROD.26 - ACERO 21 VELOC. LTWOO - FRENOS A DISCO - SUSPENSION;277600,19;295030
1126;FIRE BIRD DAMA ROD.26 -ALUMINIO 21 VELOC. LTWOO - FRENOS A DISCO - SUSPENSION;298548,04;315407
5830;NORDIC X1.0 LADY ROD.29 - 21 VEL.SHIMANO - CUADRO DE ACERO - FRENOS A DISCO;251906,91;262107
5831;NORDIC X1.0 ROD.29 - 21 VEL.SHIMANO - CUADRO DE ACERO - FRENOS A DISCO;251906,91;262107
6171;NORDIC/GHEPARD X2.0 ROD.29 LADY - 21 VEL.SHIMANO - CUADRO DE ALUMINIO - FRENOS A DISCO;264417,55;275124
6172;NORDIC/GHEPARD X2.0 ROD.29 - 21 VEL.SHIMANO - CUADRO DE ALUMINIO - FRENOS A DISCO;264417,55;275124
905;PONTINA FLASH ROD.26 - ACERO TRIAL 21VEL. FRENOS V-BRAKE - HORQUILLA RIGIDA;208199,04;224366
908;PONTINA VOLCAN ROD.26 - ACERO 21 VELOC. - RUEDAS DE ALUMINIO COMUN;211480,71;224759
1016;FIRE BIRD ROD.26- ACERO 21V FAST - FRENOS A DISCO MECANICO- HORQ.CON SUPS.;283330,18;296908
1116;FIRE BIRD ROD.26- ALUMINIO 21V FAST - FRENOS A DISCO MECANICO- HORQ.CON SUPS.;292738,06;308942
2518;SLP 25 ROD.29 - DURAL 21 VELOC.SHIMANO FRENO A DISCO - HORQ. CON SUSPENSION;347070,16;361123
1292;SLP 100 ROD.29 - DURAL 2X8 VELOC. SHIMANO TOURNEY FRENOS A DISCO HIDRAULICOS HORQ. C/BLOQUEO;550239,64;572519
4192;SLP 5 ROD.29 - ACERO 21 VEL.SHIMANO. FRENOS A DISCO HORQ. C/SUSPENSION;271407,53;282397
4292;SLP 10 ROD.29 - DURAL 21 VEL.SHIMANO. FRENOS A DISCO HORQ. C/SUSPENSION;284857,35;296391
5292;SLP 50 2025 ROD.29 - DURAL 24 VELOCIDADES SHIMANO TOURNEY FRENOS A DISCO;472565,46;491700
1024;FIRE BIRD LTWOO DAMA ROD.29 - DURAL TALLE S 21V - FRENOS A DISCO MECANICO- HORQ.CON BLOQUEO;342105,62;363585
2020;FIRE BIRD LTWOO ROD.29 - DURAL 21V LTWOO - FRENOS A DISCO MECANICO- HORQ.CON SUSP.;340416,56;354200
2029;FIRE BIRD TURBO ROD.29 - ACERO ECO TALLE M 21V LTWOO - FRENOS A DISCO MECANICO - HORQ.CON SUSP.;275764,86;293079
2032;FIRE BIRD ROD.29 - ALUMINIO ECO TALLE M 21V LTWOO - FRENOS A DISCO MECANICO - HORQ.CON SUSP.;294112,04;312578
2149;ZMB - XR-6.0 ROD.29  - BICI.MTB DURAL 21V.SHIM.TOURNEY HORQ.C/BLOQUEO - FRENOS A DISCO MECANICOS;376368,85;391608
762;VENZO AHEAD ROD.29 - DURAL 21 VELOCIDADES SHIMANO - FRENOS MECANICOS - HORQ.C/BLOEQUEO ;466263,56;488608
870;VENZO SKYLINE ROD.29 - DURAL 21 VELOCIDADES SHIMANO FULL TOURNEY - FRENOS A DISCO HID. - HORQ.CBLOQUEO;587413,67;615564
610;VENZO LOKI ROD.29 - DURAL 21 VEL.SHIMANO - FRENOS MECANICOS - HORQ.C/BLOQUEO;483582,58;510351
509;VENZO PRIMAL SHADOW ROD.29 - DURAL 24 VEL.SHIMANO ALTUS - FRENOS HIDRAULICOS - HORQ.C/BLOQUEO;666009,53;697926
578;VENZO RAPTOR ROD.29 - DURAL 2X9 SHIMANO CUES - FRENOS HIDRAULICOS - HORQ.C/BLOQUEO;846270,55;880536
924;VENZO STINGER ROD.29 - DURAL MONOPLATO 1 X 10 SHIMANO CUES - FRENOS HID. - HORQ.C/BLOQUEO REMOTO;989092,45;1029141
510;VENZO VULCAN ROD.29 - DURAL MONOPLATO 1 X 11 SENSAH R11 - FRENOS HID. - HORQ.C/BLOQUEO REMOTO;1284788,74;1355907
861;RALEIGH MOJAVE 2.0 ROD.29 - DURAL 21 VEL. SHIMANO TOURNEY - FRENOS A DISCO - HORQ.CON BLOQUEO;530593,97;559965
1861;"RALEIGH MOJAVE 2.0 ""H"" ROD.29 - DURAL 21 VEL. SHIMANO TOURNEY - FRENOS HIDRAULICOS - HORQ.CON BLOQUEO";586251,37;609989
;BICICLETAS TODO TERRENO DOBLE SUSPENSION;;
907;FIRE BIRD - ROD.26 - 21 VEL. DOBLE.SUSP. CUADRO ACERO - FRENOS V-BRAKE RESINA;253590,15;267627
;TRICICLETAS;;
120;PONTINA SIERRA ROD.20 - TRICICLETA LIVIANA DOBLE CANASTO;0;0
;ADICIONALES PARA BICICLETAS;;
453;DIFERENCIA ADICIONAL GUARDABARROS CROSS R14/16/20. MODELO WICHI;4871,47;5250
